 Morbidade Hospitalar do SUS por Causas Externas - por local de residência - Santa Catarina
Internações por Grande Grup Causas e Faixa Etária 1
Município: 420500 Dionísio Cerqueira
Período:2017-2021
"Grande Grup Causas";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"V01-V99 Acidentes de transporte";-;-;8;10;32;48;24;13;19;9;4;1;168
"W00-X59 Outras causas externas de lesões acident";3;19;36;22;20;52;44;50;51;55;41;22;415
"X60-X84 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;1;-;1;-;-;-;3
"X85-Y09 Agressões";-;1;-;-;1;5;4;5;2;3;-;-;21
"Y10-Y34 Eventos cuja intenção é indeterminada";-;-;3;3;2;3;3;6;6;3;3;1;33
"Y40-Y84 Complic assistência médica e cirúrgica";-;-;1;-;5;4;2;2;5;1;2;3;25
"Y85-Y89 Seqüelas de causas externas";-;-;-;-;-;-;-;-;1;-;-;-;1
"Y90-Y98 Fatores suplement relac outras causas";-;-;-;-;-;5;1;1;-;3;-;-;10
"S-T Causas externas não classificadas";-;-;-;-;2;2;-;-;2;1;-;-;7
"Total";3;20;48;35;62;120;79;77;87;75;50;27;683
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
